,First_Prov_Listing_(inc_QC),NOC_to_CADTH_Submission,CADTH_Duration,CADTH_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_Completion_to_1st_Listing_(incl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),Rare_Disease_(FDA_or_EMA)
636,2019-09-30,-34.0,175.0,99.0,283.0,21.0,45.0,N
639,2018-09-27,-86.0,173.0,161.0,87.0,63.0,0.0,N
640,2021-09-22,-147.0,237.0,1.0,0.0,5.0,7.0,Y
641,2022-07-08,-166.0,224.0,20.0,0.0,1.0,27.0,Y
642,2021-01-29,1652.0,287.0,145.0,150.0,57.0,5.0,N
649,2020-03-31,,,,152.0,48.0,142.0,Y
651,2022-09-30,294.0,236.0,182.0,119.0,16.0,62.0,N
657,2019-11-01,-58.0,176.0,43.0,114.0,63.0,89.0,Y
659,2018-03-01,71.0,211.0,167.0,243.0,79.0,48.0,Y
662,2021-05-26,-196.0,395.0,197.0,451.0,-334.0,421.0,N
666,2019-10-02,158.0,204.0,100.0,158.0,15.0,147.0,N
670,2019-05-13,283.0,235.0,111.0,258.0,68.0,111.0,Y
671,2021-11-10,-11.0,214.0,98.0,232.0,28.0,83.0,Y
672,2022-02-01,35.0,224.0,40.0,68.0,57.0,89.0,Y
674,2019-12-18,33.0,219.0,26.0,124.0,51.0,74.0,Y
675,2021-03-03,149.0,180.0,101.0,267.0,103.0,0.0,Y
689,2018-02-28,-19.0,179.0,22.0,0.0,14.0,1.0,N
694,2021-03-03,-200.0,230.0,112.0,239.0,27.0,70.0,N
696,2022-05-26,-97.0,214.0,142.0,104.0,29.0,128.0,Y
697,2019-12-20,-34.0,243.0,37.0,82.0,30.0,224.0,N
699,2022-08-11,92.0,202.0,64.0,120.0,0.0,75.0,N
706,2019-12-18,-113.0,180.0,129.0,231.0,33.0,2.0,N
713,2020-09-30,-76.0,245.0,128.0,385.0,68.0,0.0,N
720,2021-05-27,-56.0,205.0,89.0,210.0,73.0,97.0,Y
724,2020-04-29,-87.0,183.0,127.0,210.0,63.0,33.0,N
725,2021-09-29,-99.0,212.0,37.0,273.0,61.0,63.0,N
733,2021-09-29,225.0,209.0,71.0,271.0,49.0,63.0,Y
734,2021-09-29,-11.0,220.0,33.0,71.0,49.0,63.0,Y
742,2019-11-14,-92.0,,,169.0,78.0,,N
743,2021-10-20,-203.0,302.0,-33.0,231.0,12.0,9.0,Y
747,2018-07-05,70.0,181.0,64.0,,,,Y
751,2021-09-01,377.0,67.0,,,,,N
