,Listing_AB_Date,Listing_BC_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,Oncology,NAS,Rare_Disease_(FDA_or_EMA)
439,2018-05-08,2018-03-01,2017-12-07,2017-12-05,2018-01-17,2017-12-18,2018-04-18,,2018-05-30,2018-02-01,101.0,169.0,17.0,15.0,58.0,28.0,149.0,,191.0,73.0,Y,N,N
440,2020-04-10,2019-12-01,2020-03-01,2020-02-03,2020-01-29,2020-04-06,2020-04-01,,,2019-12-18,58.0,189.0,149.0,122.0,117.0,185.0,180.0,,,75.0,Y,N,Y
442,2020-04-10,2019-11-01,2020-01-01,2020-01-15,2020-01-20,2020-04-06,2020-04-01,,,2019-10-02,56.0,217.0,117.0,131.0,136.0,213.0,208.0,,,26.0,Y,N,Y
443,2022-09-30,2022-11-01,2022-12-01,2022-10-28,2023-03-31,,,2023-04-03,,2022-09-28,68.0,36.0,98.0,64.0,218.0,,,221.0,,34.0,Y,N,Y
444,2023-01-31,2022-11-01,2022-12-01,2022-10-20,2022-11-30,,,2023-04-03,,2022-09-28,68.0,159.0,98.0,56.0,97.0,,,221.0,,34.0,Y,N,Y
447,2019-07-16,2019-04-01,2019-04-15,2019-04-15,2019-04-04,2019-06-28,2019-07-01,,2019-07-16,2019-05-23,12.0,118.0,26.0,26.0,15.0,100.0,103.0,,118.0,64.0,Y,N,Y
448,2019-07-16,2019-05-01,2019-06-01,2019-06-05,2019-05-15,2019-06-28,2019-07-01,,2019-07-16,2019-05-23,42.0,118.0,73.0,77.0,56.0,100.0,103.0,,118.0,64.0,Y,N,N
449,2022-03-31,2022-05-01,2022-05-01,2022-03-29,2022-06-30,,,,,,103.0,72.0,103.0,70.0,163.0,,,,,,Y,N,N
450,2022-03-31,2022-05-01,2022-05-01,2022-04-01,2022-06-30,,,,,2022-03-02,103.0,72.0,103.0,73.0,163.0,,,,,43.0,Y,N,Y
452,,,2021-03-01,2021-04-01,2021-04-20,2021-07-15,2022-03-21,2023-01-23,2022-07-07,,,,68.0,99.0,118.0,204.0,453.0,761.0,561.0,,N,Y,Y
455,2013-11-01,2014-02-25,2015-04-01,2013-10-17,2013-06-12,2014-11-21,2016-12-01,2015-03-02,2016-11-24,2013-10-01,-197.0,-313.0,203.0,-328.0,-455.0,72.0,813.0,173.0,806.0,-344.0,N,N,N
456,2019-02-01,2021-01-01,,2019-08-22,,2019-08-26,2019-08-01,,,2018-02-01,765.0,65.0,,267.0,,271.0,246.0,,,-300.0,N,Y,Y
458,2021-08-01,,2021-07-01,2021-10-22,2021-06-25,,2021-11-18,2021-11-01,,,,,,,,,,,,,N,N,Y
467,2019-09-01,2020-12-15,2020-10-01,2021-01-21,2019-09-30,2019-12-19,2020-10-07,2019-09-23,2019-11-27,2019-11-14,508.0,37.0,433.0,545.0,66.0,146.0,439.0,59.0,124.0,111.0,N,Y,N
468,,,,,,,,,,2016-07-01,,,,,,,,,,,N,N,N
470,2023-01-31,2023-03-01,2023-03-01,,,,,,,2022-12-14,93.0,64.0,93.0,,,,,,,16.0,Y,N,N
472,2022-10-01,2022-11-22,2022-09-01,2023-01-24,2022-12-21,2022-10-24,2022-11-01,2023-03-27,2023-02-01,2022-09-28,109.0,57.0,27.0,172.0,138.0,80.0,88.0,234.0,180.0,54.0,N,N,N
475,2013-12-19,2013-11-01,2013-11-25,2014-03-14,2013-11-25,2014-04-01,2014-06-23,2015-04-27,2014-04-01,2016-03-24,14.0,62.0,38.0,147.0,38.0,165.0,248.0,556.0,165.0,888.0,Y,Y,N
479,2018-05-01,2018-01-23,2018-04-01,2018-04-19,,2018-05-08,2019-04-01,,2018-03-01,,64.0,162.0,132.0,150.0,,169.0,497.0,,101.0,,N,Y,Y
482,,,,2020-03-02,2019-10-31,2020-05-21,2021-03-01,2021-05-31,2020-09-11,2019-11-14,,,,139.0,16.0,219.0,503.0,594.0,332.0,30.0,N,Y,N
484,2017-07-01,,2017-04-01,2017-07-19,2017-03-17,2017-08-15,2017-10-24,2017-04-24,2017-05-26,,,137.0,46.0,155.0,31.0,182.0,252.0,69.0,101.0,,N,Y,N
486,2022-02-28,2022-04-01,2022-01-01,2022-01-04,2022-05-31,,,,,,121.0,89.0,31.0,34.0,181.0,,,,,,Y,Y,Y
489,2015-04-28,2015-03-01,2015-05-01,2015-04-20,2015-02-06,2015-03-23,2015-05-04,2015-11-23,2015-05-01,2016-03-24,37.0,95.0,98.0,87.0,14.0,59.0,101.0,304.0,98.0,426.0,Y,Y,Y
492,2019-02-01,,2018-10-01,2019-05-31,2019-03-28,2018-11-30,2019-05-01,2022-07-25,2022-05-02,,,183.0,60.0,302.0,238.0,120.0,272.0,1453.0,1369.0,,N,Y,N
494,2020-04-01,2021-05-18,2020-07-01,2020-07-16,2020-01-22,2020-07-16,2021-08-01,2021-12-20,2021-06-08,2020-02-05,517.0,105.0,196.0,211.0,35.0,211.0,592.0,733.0,538.0,49.0,N,Y,Y
495,,2015-08-12,2016-05-01,2016-07-21,2016-06-29,2016-09-29,2016-09-01,2016-11-28,2016-11-01,,-225.0,,38.0,119.0,97.0,189.0,161.0,249.0,222.0,,N,N,N
497,2019-07-01,,2019-08-01,2020-03-02,2020-04-30,2019-08-26,2020-02-06,2021-05-31,2019-12-04,2019-11-14,,59.0,90.0,304.0,363.0,115.0,279.0,759.0,215.0,195.0,N,N,N
498,2018-09-01,,2018-10-01,2018-10-18,,2018-11-30,2019-02-01,,2021-04-20,2018-09-27,,43.0,73.0,90.0,,133.0,196.0,,1005.0,69.0,N,Y,Y
499,2015-12-18,2021-06-01,2015-09-11,2015-09-09,2016-09-09,2017-12-14,2015-12-01,,,,,,,,,,,,,,Y,N,Y
500,2016-02-01,2017-02-14,2018-01-01,,2018-01-31,2018-02-12,2019-06-01,2019-11-25,2018-03-16,2018-08-16,-245.0,-624.0,76.0,,106.0,118.0,592.0,769.0,150.0,303.0,N,N,N
502,2018-12-01,,2019-01-01,2020-03-02,2019-02-04,2019-03-27,2019-04-01,,2019-03-01,2018-11-15,,51.0,82.0,508.0,116.0,167.0,172.0,,141.0,35.0,N,N,N
